2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [8] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:main+0x6a3 [0x559696226c03]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [9] /lib/x86_64-linux-gnu/libc.so.6:__libc_start_main+0xf0 [0x7f0f240f5830]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	    [10] /home/torre/Desktop/monero-latest/monero/build/release/bin/monero-wallet-rpc:_start+0x29 [0x559696232709]
2018-09-11 15:03:20.535	    7f0f27346780	INFO 	stacktrace	src/common/stack_trace.cpp:172	
2018-09-11 15:03:20.970	    7f0f27346780	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:3000
2018-09-11 15:03:20.970	    7f0f27346780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3398	Starting wallet RPC server
2018-09-11 15:03:21.470	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3408	Stopped wallet RPC server
2018-09-11 15:03:21.471	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3411	Saving wallet...
2018-09-11 15:03:21.482	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3413	Successfully saved
2018-09-11 16:33:25.510	    7fcd69638780	INFO 	logging	contrib/epee/src/mlog.cpp:237	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
2018-09-11 16:33:25.510	    7fcd69638780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3345	Loading wallet...
2018-09-11 16:33:25.792	    7fcd69638780	WARN 	wallet.wallet2	src/wallet/wallet2.cpp:4273	Loaded wallet keys file, with public address: 471Wmu3C7YDNmx328md32CiR3L8cQX7x46Ue7s4AsTjN96HsKDc7QHnBisAU4pnNyW2qNoxqBbRLpWNVfAtfzHJGQLwgdZh
2018-09-11 16:33:26.025	    7fcd69638780	INFO 	global	contrib/epee/include/net/http_server_impl_base.h:76	Binding on 127.0.0.1:3000
2018-09-11 16:33:26.025	    7fcd69638780	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3398	Starting wallet RPC server
2018-09-11 16:33:26.526	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3408	Stopped wallet RPC server
2018-09-11 16:33:26.526	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3411	Saving wallet...
2018-09-11 16:33:26.551	[SRV_MAIN]	WARN 	wallet.rpc	src/wallet/wallet_rpc_server.cpp:3413	Successfully saved
2018-09-11 16:33:34.980	    7f5bfc53e780	INFO 	logging	contrib/epee/src/mlog.cpp:237	New log categories: *:WARNING,net:FATAL,net.p2p:FATAL,net.cn:FATAL,global:INFO,verify:FATAL,stacktrace:INFO,logging:INFO,msgwriter:INFO
